YEAR,SUCDEFRT,SUCDWLTH,SUCDPAED,SUCDKNOW
2003.0,1315,1315,1315,1315
2004.0,1312,1312,1312,1312
2005.0,1613,1613,1613,1613
2006.0,1605,1605,1605,1605
2007.0,1431,1431,1431,1431
2008.0,1508,1508,1508,1508
2009.0,1599,1599,1599,1599
2010.0,1576,1576,1576,1576
2011.0,1535,1535,1535,1535
2012.0,1396,1396,1396,1396
2013.0,1294,1294,1294,1294
2014.0,1370,1370,1370,1370
2016.0,1051,1051,1051,1051
2018.0,1031,1031,1031,1031
2021.0,1205,1205,1205,1205
2023.0,1230,1230,1230,1230
2025.0,1211,1211,1211,1211
