YEAR,KIDSOL06,raw_count
2003.0,-1.0,1315
2004.0,-1.0,1312
2005.0,-1.0,1613
2006.0,-8.0,45
2006.0,1.0,680
2006.0,2.0,626
2006.0,3.0,165
2006.0,4.0,66
2006.0,5.0,23
2007.0,-1.0,1431
2008.0,-1.0,1508
2009.0,-1.0,1599
2010.0,-8.0,43
2010.0,1.0,552
2010.0,2.0,628
2010.0,3.0,234
2010.0,4.0,94
2010.0,5.0,25
2011.0,-8.0,41
2011.0,1.0,577
2011.0,2.0,605
2011.0,3.0,192
2011.0,4.0,94
2011.0,5.0,26
2012.0,-8.0,50
2012.0,1.0,455
2012.0,2.0,569
2012.0,3.0,196
2012.0,4.0,96
2012.0,5.0,30
2013.0,-8.0,27
2013.0,1.0,340
2013.0,2.0,563
2013.0,3.0,215
2013.0,4.0,111
2013.0,5.0,38
2014.0,-8.0,4
2014.0,1.0,412
2014.0,2.0,542
2014.0,3.0,250
2014.0,4.0,121
2014.0,5.0,41
2016.0,-1.0,1051
2018.0,-1.0,1031
2021.0,-8.0,22
2021.0,1.0,169
2021.0,2.0,540
2021.0,3.0,319
2021.0,4.0,130
2021.0,5.0,25
2023.0,-8.0,24
2023.0,1.0,153
2023.0,2.0,579
2023.0,3.0,349
2023.0,4.0,107
2023.0,5.0,18
2025.0,-8.0,9
2025.0,1.0,163
2025.0,2.0,575
2025.0,3.0,317
2025.0,4.0,129
2025.0,5.0,18
