age_group,variable,label,weighted_important_pct,valid_n
20s,SUCDEFRT,열심히 일,99.27421287421052,92
20s,SUCDWLTH,부유한 집안,94.92391349847112,92
20s,SUCDPAED,부모 교육,86.62062265606407,92
20s,SUCDKNOW,좋은 사람을 아는 것,100.0,92
30s,SUCDEFRT,열심히 일,95.92598063146292,197
30s,SUCDWLTH,부유한 집안,95.08419305698386,197
30s,SUCDPAED,부모 교육,90.26627248794613,197
30s,SUCDKNOW,좋은 사람을 아는 것,96.32033382920872,197
40s,SUCDEFRT,열심히 일,99.47445857978681,208
40s,SUCDWLTH,부유한 집안,92.97988150596471,208
40s,SUCDPAED,부모 교육,89.80333639383812,208
40s,SUCDKNOW,좋은 사람을 아는 것,98.26089247117436,208
50s,SUCDEFRT,열심히 일,99.33157325323066,262
50s,SUCDWLTH,부유한 집안,93.4030369278973,262
50s,SUCDPAED,부모 교육,88.29440962267155,262
50s,SUCDKNOW,좋은 사람을 아는 것,98.92182445905642,262
60+,SUCDEFRT,열심히 일,98.51936868643082,449
60+,SUCDWLTH,부유한 집안,85.76225289973482,448
60+,SUCDPAED,부모 교육,86.33573001067708,449
60+,SUCDKNOW,좋은 사람을 아는 것,98.47920096823283,449
