YEAR,household_income,labor_income,net_asset,household_income_index_2012,labor_income_index_2012,net_asset_index_2012,net_asset_to_labor_income_ratio
2012,4478.5287689852,2888.6493315787,26874.7221119835,100.0,100.0,100.0,9.303559908843615
2013,4658.4770185385,3025.3586666524,26830.5843022226,104.01802151633994,104.7326386619239,99.83576459106447,8.868563122107767
2014,4769.5586856778,3130.0239771341,27488.0730290076,106.4983375502251,108.35596910004594,102.28225956893002,8.782064683790736
2015,4881.8553998775,3199.4136414517,28429.1525297501,109.00578407992879,110.75811821378684,105.78398694241187,8.885738361998941
2016,5510.3332498431,3499.1786331595,29918.3041699233,123.0389159940955,121.13545922332962,111.32507359613835,8.550093409466575
2017,5736.4204241095,3639.5377951105,31572.1514624175,128.08716254845737,125.9944485238513,117.47898761840369,8.674769500905523
2018,5863.8095447184,3781.126556944,34367.6077936123,130.93160381879366,130.89600442700825,127.88079314981158,9.089250855805536
2019,5965.5882976167,3790.8591830082,35280.5963833981,133.2041973009019,131.23293096072777,131.2779951226599,9.306754664361213
2020,6179.8860140626,3854.5607537726,36286.5906786722,137.9891998653592,133.43816819973824,135.0212684152441,9.413936631601196
2021,6469.9256065777,4125.270167331,41452.0141881931,144.4654247033839,142.80965578734558,154.24164765487768,10.04831502102856
2022,6762.4612582631,4389.9677490469,45602.3278201385,150.99738345089207,151.97302424547675,169.68483480543344,10.387850304831773
2023,7185.1514023222,4636.6357599391,43540.3837191854,160.43553079486634,160.51224041808817,162.01240532928392,9.390511994791085
2024,7427.3160704022,4747.0398022227,44893.8933169704,165.84276787140462,164.33423573876152,167.04877218786984,9.457239708828604
