구분코드,구분,지표,가중비율_pct,비가중_가구수,전체_비가중_가구수
G1,30세미만,소득상위40_순자산하위40,7.261808752377513,33,529
G1,30세미만,소득하위40_순자산상위40,0.3164319267284373,3,529
G1,30세미만,소득상위40_순자산상위40,2.81404702834116,12,529
G1,30세미만,소득하위40_순자산하위40,59.84309358118405,333,529
G2,30~40세 미만,소득상위40_순자산하위40,9.6454385915643,163,1736
G2,30~40세 미만,소득하위40_순자산상위40,2.071002441199441,33,1736
G2,30~40세 미만,소득상위40_순자산상위40,18.273631704158877,288,1736
G2,30~40세 미만,소득하위40_순자산하위40,24.87176132751754,481,1736
G3,40~50세 미만,소득상위40_순자산하위40,8.47888668093553,218,2856
G3,40~50세 미만,소득하위40_순자산상위40,3.1986246314454023,78,2856
G3,40~50세 미만,소득상위40_순자산상위40,36.221415423200455,1041,2856
G3,40~50세 미만,소득하위40_순자산하위40,15.274416152346404,457,2856
G4,50~60세 미만,소득상위40_순자산하위40,6.070308685193846,245,3900
G4,50~60세 미만,소득하위40_순자산상위40,3.6669833502026976,150,3900
G4,50~60세 미만,소득상위40_순자산상위40,38.91597041334137,1496,3900
G4,50~60세 미만,소득하위40_순자산하위40,18.81119219905509,733,3900
G5,60세이상,소득상위40_순자산하위40,2.6036903404350964,195,9643
G5,60세이상,소득하위40_순자산상위40,12.639142833197278,1247,9643
G5,60세이상,소득상위40_순자산상위40,20.41344469318075,1558,9643
G5,60세이상,소득하위40_순자산하위40,32.38639703150547,3594,9643
