YEAR,variable,label,weighted_pct,ci_low_pct,ci_high_pct,valid_n,effective_n
2009,SUCDEFRT,열심히 일,98.16755193910095,97.29900910808736,98.76036054525696,1597,1338.2746122856447
2009,SUCDWLTH,부유한 집안,80.36082384550014,78.14506649552725,82.40252470892369,1595,1336.2965260029143
2009,SUCDPAED,부모 교육,76.41517852886982,74.06709405548575,78.61204982070502,1597,1338.2746122856447
2009,SUCDKNOW,좋은 사람을 아는 것,96.73016515570168,95.63495544950597,97.5575996038243,1595,1336.9247226526506
2014,SUCDEFRT,열심히 일,96.87095610287338,95.70841724150559,97.7260591285932,1370,1167.4783866764792
2014,SUCDWLTH,부유한 집안,83.66856869498686,81.438355454986,85.67794315949747,1370,1167.4783866764792
2014,SUCDPAED,부모 교육,79.9783939008681,77.58439997120338,82.17544924773871,1368,1165.6679795722405
2014,SUCDKNOW,좋은 사람을 아는 것,96.03113824787114,94.75200902911558,97.00834016175155,1370,1167.4783866764792
2021,SUCDEFRT,열심히 일,96.42288397444057,95.04684366611967,97.4269940701462,1205,955.1104685945087
2021,SUCDWLTH,부유한 집안,89.1137002880923,86.97733332091579,90.93611894975851,1203,953.3458637065231
2021,SUCDPAED,부모 교육,87.37847570278109,85.118598008021,89.33815686946754,1202,952.7843630296977
2021,SUCDKNOW,좋은 사람을 아는 것,96.60292730681344,95.2537712430343,97.57832434560227,1204,954.1192281623543
2023,SUCDEFRT,열심히 일,96.35672227896522,94.96275043357038,97.37559733146485,1230,945.6598062927242
2023,SUCDWLTH,부유한 집안,88.61875683772477,86.43645021762894,90.48857864174023,1230,945.6598062927242
2023,SUCDPAED,부모 교육,85.2175197647315,82.81299078617951,87.33708513783314,1230,945.6598062927242
2023,SUCDKNOW,좋은 사람을 아는 것,97.72181340770123,96.56024893277144,98.49723541438979,1230,945.6598062927242
2025,SUCDEFRT,열심히 일,98.57149245788226,97.55111422590957,99.17032528539677,1211,881.4031016149619
2025,SUCDWLTH,부유한 집안,91.01567071628709,88.94497969962883,92.7302061590971,1210,880.9404827187129
2025,SUCDPAED,부모 교육,87.46841595804091,85.11882521122595,89.49282339752524,1211,881.4031016149619
2025,SUCDKNOW,좋은 사람을 아는 것,98.43794649095004,97.38428696920856,99.07121963559274,1211,881.4031016149619
